code,name,id
G83.9,"Paralytic syndrome, unspecified",MOjEvWmrkMG
G90,Disorders of autonomic nervous system,bVNCZN11vGt
G90.0,Idiopathic peripheral autonomic neuropathy,ExJIktfpsWC
G90.1,Familial dysautonomia [Riley-Day],JiSfMI4CQJU
G90.2,Horner syndrome,xXD5ZJ8gLEP
G90.4,Autonomic dysreflexia,hNnJlbzeP7D
G90.8,Other disorders of autonomic nervous system,VtIaUazG3Y8
G90.9,"Disorder of autonomic nervous system, unspecified",HcNpOJ24K5a
G91,Hydrocephalus,pPZJM5YFSkG
G91.0,Communicating hydrocephalus,tmiDXYu8q9p
G91.1,Obstructive hydrocephalus,E5iqw5JRpEA
G91.2,Normal-pressure hydrocephalus,Diy7shJZwj2
G91.3,"Post-traumatic hydrocephalus, unspecified",bQZyy8fgwxh
G91.8,Other hydrocephalus,jNDvB2aFb71
G91.9,"Hydrocephalus, unspecified",spDMIHmz9oN
G92,Toxic encephalopathy,PX2x5ir1FAE
G93,Other disorders of brain,gOhSNN3Tb9q
G93.0,Cerebral cysts,RYyODQlCIUM
G93.1,"Anoxic brain damage, not elsewhere classified",bWiXeYeRN2j
G93.2,Benign intracranial hypertension,NNLj5Zl4x0J
G93.3,Postviral fatigue syndrome,EIOZPmulDVr
G93.4,"Encephalopathy, unspecified",b5GTj0yQ3xu
G93.5,Compression of brain,qLmDXyRHbC4
G93.6,Cerebral oedema,xszJ0RaontR
G93.7,Reye syndrome,npyWri1Z8q3
G93.8,Other specified disorders of brain,SzJ9BYcwnKR
G93.9,"Disorder of brain, unspecified",Y5uy7DJeIcL
G94,Other disorders of brain in diseases classified elsewhere,R8y7rBeVCGs
G94.0,Hydrocephalus in infectious and parasitic diseases classified elsewhere,vXKxhSj3FxW
G94.1,Hydrocephalus in neoplastic disease,bWMHpI09mIz
G94.2,Hydrocephalus in other diseases classified elsewhere,bAjMKCUhzqB
G94.8,Other specified disorders of brain in diseases classified elsewhere,gzK7tnQ95pB
G95,Other diseases of spinal cord,A1Ub6q6EigC
G95.0,Syringomyelia and syringobulbia,Y7D5eODJxNL
G95.1,Vascular myelopathies,kKd503j9mNw
G95.2,"Cord compression, unspecified",YWQAOYnsDnX
G95.8,Other specified diseases of spinal cord,pcM5GlIWsVm
G95.9,"Disease of spinal cord, unspecified",IvRX16IbUeK
G96,Other disorders of central nervous system,ZwEsYQH7BJf
G96.0,Cerebrospinal fluid leak,ge6NQvy1hnm
G96.1,"Disorders of meninges, not elsewhere classified",KPjGWqnhhcX
G96.8,Other specified disorders of central nervous system,KNTXITTXiLJ
G96.9,"Disorder of central nervous system, unspecified",u0B1CJlzMir
G97,"Postprocedural disorders of nervous system, not elsewhere classified",ggCtk2JzXJR
G97.0,Cerebrospinal fluid leak from spinal puncture,lLBTOV0qXF7
G97.1,Other reaction to spinal and lumbar puncture,j0H7YzQJWZC
G97.2,Intracranial hypotension following ventricular shunting,BjUB8czVf0e
G97.8,Other postprocedural disorders of nervous system,FQnaRVpjQO3
G97.9,"Postprocedural disorder of nervous system, unspecified",zgyulFOQie8
G98,"Other disorders of nervous system, not elsewhere classified",mtSnXgmglLJ
G99,Other disorders of nervous system in diseases classified elsewhere,uLWMhJftX4p
G99.0,Autonomic neuropathy in endocrine and metabolic diseases,UADIrKs5LBt
G99.1,Other disorders of autonomic nervous system in other diseases classified elsewhere,BO78XFrFqTk
G99.2,Myelopathy in diseases classified elsewhere,BFz9QItiyyt
G99.8,Other specified disorders of nervous system in diseases classified elsewhere,kGxmGgARDW5
H00,Hordeolum and chalazion,I51yuTnKAUQ
H00.0,Hordeolum and other deep inflammation of eyelid,nkhQIRJDtHm
H00.1,Chalazion,MFMVXuqdYgP
H01,Other inflammation of eyelid,cLf7lvRExwy
H01.0,Blepharitis,I345Vi7gHmU
H01.1,Noninfectious dermatoses of eyelid,FoV00LMG1b7
H01.8,Other specified inflammation of eyelid,O7QRYHUGExu
H01.9,"Inflammation of eyelid, unspecified",O6x9FsCtK9Q
H02,Other disorders of eyelid,HScoS1Uyg5r
H02.0,Entropion and trichiasis of eyelid,O5hEpxXeq3L
H02.1,Ectropion of eyelid,PLv4e2YmvsU
H02.2,Lagophthalmos,NWyekGAWraf
H02.3,Blepharochalasis,xqURSJ5zpwC
H02.4,Ptosis of eyelid,qf4O2a6Ga9P
H02.5,Other disorders affecting eyelid function,N4lx3nYBnZ4
H02.6,Xanthelasma of eyelid,r1CqOu4cJcA
H02.7,Other degenerative disorders of eyelid and periocular area,KXsM7mDIaeo
H02.8,Other specified disorders of eyelid,L5j5kAyulRi
H02.9,"Disorder of eyelid, unspecified",h9cjbOvy18Y
H03,Disorders of eyelid in diseases classified elsewhere,pMk81y24dSV
H03.0,Parasitic infestation of eyelid in diseases classified elsewhere,ONwr8GS9q2t
H03.1,Involvement of eyelid in other infectious diseases classified elsewhere,FTvM3o4Yxx1
H03.8,Involvement of eyelid in other diseases classified elsewhere,qhAMBCIPedz
H04,Disorders of lacrimal system,N881bMVkQ6K
H04.0,Dacryoadenitis,eFKvabXKhiV
H04.1,Other disorders of lacrimal gland,sqvGEteX2lC
H04.2,Epiphora,kS7mpSMD9mh
H04.3,Acute and unspecified inflammation of lacrimal passages,zec2Vwbb4N1
H04.4,Chronic inflammation of lacrimal passages,uc6yz8ld9TO
H04.5,Stenosis and insufficiency of lacrimal passages,D02m4BC2iFG
H04.6,Other changes in lacrimal passages,Sto8H6s0ynd
H04.8,Other disorders of lacrimal system,IpkJ582lr1B
H04.9,"Disorder of lacrimal system, unspecified",k5Q8NtVLi5R
H05,Disorders of orbit,KaQqpo1olks
H05.0,Acute inflammation of orbit,ZbDmOdFjRnr
H05.1,Chronic inflammatory disorders of orbit,ER46ikl0MTH
H05.2,Exophthalmic conditions,XFr8rUkp8wN
H05.3,Deformity of orbit,q626Kluecwz
H05.4,Enophthalmos,nhrXjmYIB42
H05.5,Retained (old) foreign body following penetrating wound of orbit,rDEzzEiYkPT
H05.8,Other disorders of orbit,m2Ap11QgRmb
H05.9,"Disorder of orbit, unspecified",ULOI9t36Vqf
H06,Disorders of lacrimal system and orbit in diseases classified elsewhere,Kq4UBZTvw0R
H06.0,Disorders of lacrimal system in diseases classified elsewhere,IKwOR8cW5ry
H06.1,Parasitic infestation of orbit in diseases classified elsewhere,JISKH9Ns0wR
H06.2,Dysthyroid exophthalmos,KnaXylWttUT
H06.3,Other disorders of orbit in diseases classified elsewhere,BydkxGrRl5u
H10,Conjunctivitis,UqnFL7HzLbC
H10.0,Mucopurulent conjunctivitis,MfaFYAeGoIW
H10.1,Acute atopic conjunctivitis,TGTRBtuSMCz
H10.2,Other acute conjunctivitis,KTEYiwhlnNu
H10.3,"Acute conjunctivitis, unspecified",T0vnvImYJZq
H10.4,Chronic conjunctivitis,bd1YxnJ8KfP
H10.5,Blepharoconjunctivitis,mOAWN8LjQIn
H10.8,Other conjunctivitis,TV1Lqcz6OBo
H10.9,"Conjunctivitis, unspecified",zIZec1qq1RI
H11,Other disorders of conjunctiva,m74hjcbCjb6
H11.0,Pterygium,logJ3qcM2Yl
H11.1,Conjunctival degenerations and deposits,OPDZYRx5CJv
H11.2,Conjunctival scars,h32z9sOmPoy
H11.3,Conjunctival haemorrhage,ARNdDXfrj7f
H11.4,Other conjunctival vascular disorders and cysts,byiapB3h0yk
H11.8,Other specified disorders of conjunctiva,yrcBCRD0Sp2
H11.9,"Disorder of conjunctiva, unspecified",DKXcqT1fhd0
H13,Disorders of conjunctiva in diseases classified elsewhere,wD7jHGjb8KF
H13.0,Filarial infection of conjunctiva,zdeQ1Rum1QE
H13.1,Conjunctivitis in infectious and parasitic diseases classified elsewhere,PhEZMYDVFFd
H13.2,Conjunctivitis in other diseases classified elsewhere,lrUD51MDwWi
H13.3,Ocular pemphigoid,BGsj4acMdQb
H13.8,Other disorders of conjunctiva in diseases classified elsewhere,HTh3OnVBxwu
H15,Disorders of sclera,GaXaLa1Sfa7
H15.0,Scleritis,DNdtePQCKSp
H15.1,Episcleritis,bpq6GAA8jMv
H15.8,Other disorders of sclera,zjTwTZXYO6d
H15.9,"Disorder of sclera, unspecified",V76e2yQ9N8p
H16,Keratitis,GYWW1jNoDt7
H16.0,Corneal ulcer,lbTvzTlVx3v
H16.1,Other superficial keratitis without conjunctivitis,VUnNY1lxBKe
H16.2,Keratoconjunctivitis,URWepJuoCJM
H16.3,Interstitial and deep keratitis,Pa5o33YeL0h
H16.4,Corneal neovascularization,QQWW3NaiJhR
H16.8,Other keratitis,Di2bPU1I4dK
H16.9,"Keratitis, unspecified",oet9Isximae
H17,Corneal scars and opacities,WH8JBYJAjJu
H17.0,Adherent leukoma,wdu0OQ16GZ8
H17.1,Other central corneal opacity,Wel7QQhyEnw
H17.8,Other corneal scars and opacities,x7KBnWpIv22
H17.9,"Corneal scar and opacity, unspecified",JYSKbltoq3r
H18,Other disorders of cornea,WxSIUx5VtBs
H18.0,Corneal pigmentations and deposits,orisXvq7juM
H18.1,Bullous keratopathy,zqfW3vXwc8u
H18.2,Other corneal oedema,eHushP8OYSp
H18.3,Changes in corneal membranes,XL2PafBkBqO
H18.4,Corneal degeneration,sFoxJhXBUwa
H18.5,Hereditary corneal dystrophies,PSuTyjCFTCv
H18.6,Keratoconus,xvXRTjtgt5O
H18.7,Other corneal deformities,yCe8BQe1RZD
H18.8,Other specified disorders of cornea,li8CPQKOQqL
H18.9,"Disorder of cornea, unspecified",dmN80iwOJIp
H19,Disorders of sclera and cornea in diseases classified elsewhere,Tke6q7W21f5
H19.0,Scleritis and episcleritis in diseases classified elsewhere,DUew5smANjl
H19.1,Herpesviral keratitis and keratoconjunctivitis,T1bLyxQ5jLn
H19.2,Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere,YX9RQHOTH0d
H19.3,Keratitis and keratoconjunctivitis in other diseases classified elsewhere,HRJVjBjpJbL
H19.8,Other disorders of sclera and cornea in diseases classified elsewhere,w5YHGwcA8PA
H20,Iridocyclitis,nWb24AszW8u
H20.0,Acute and subacute iridocyclitis,f7qm2gWm4II
H20.1,Chronic iridocyclitis,wjBvnv6qcD3
H20.2,Lens-induced iridocyclitis,TyCrZoQafIL
H20.8,Other iridocyclitis,Andkf8KreF2
H20.9,"Iridocyclitis, unspecified",oGaQtePxAEG
H21,Other disorders of iris and ciliary body,gNxzXXws4sS
H21.0,Hyphaema,UZvkKUya3c6
H21.1,Other vascular disorders of iris and ciliary body,QtYYo7TgpOL
H21.2,Degeneration of iris and ciliary body,C7MwHKbXRgv
H21.3,"Cyst of iris, ciliary body and anterior chamber",PZub3ksGrsS
H21.4,Pupillary membranes,Q8dsQ1V22QD
H21.5,Other adhesions and disruptions of iris and ciliary body,DMv3U5ESNkM
H21.8,Other specified disorders of iris and ciliary body,H4UUnznkPkt
H21.9,"Disorder of iris and ciliary body, unspecified",X67KumEWYKS
H22,Disorders of iris and ciliary body in diseases classified elsewhere,oyqbHNGjafQ
H22.0,Iridocyclitis in infectious and parasitic diseases classified elsewhere,P2OWjlZgJHP
H22.1,Iridocyclitis in other diseases classified elsewhere,k6NY6Czkhae
H22.8,Other disorders of iris and ciliary body in diseases classified elsewhere,Cc3V7qU8A3n
H25,Senile cataract,QWXAhxbYZlw
H25.0,Senile incipient cataract,DL11byDQFxh
H25.1,Senile nuclear cataract,AOBhRraIhpI
H25.2,"Senile cataract, morgagnian type",iZSFh0VPd60
H25.8,Other senile cataract,w7wlLfd3sHH
H25.9,"Senile cataract, unspecified",zdb1fTXI9VE
H26,Other cataract,Jn5qJEPshSr
H26.0,"Infantile, juvenile and presenile cataract",SaHeUwvZswy
H26.1,Traumatic cataract,o922hGsnu6l
H26.2,Complicated cataract,ALSljOehfeG
H26.3,Drug-induced cataract,i14sptvBLjx
H26.4,After-cataract,BfWsBdzMxZr
H26.8,Other specified cataract,oYnHrFgyJhy
H26.9,"Cataract, unspecified",xzVnOlElh9f
H27,Other disorders of lens,d5J81AXxbfu
H27.0,Aphakia,qGVPj8AYFMA
H27.1,Dislocation of lens,lbBz5x0tBUG
H27.8,Other specified disorders of lens,ORVjxh779oZ
H27.9,"Disorder of lens, unspecified",T4BtgDjLC5C
H28,Cataract and other disorders of lens in diseases classified elsewhere,v0yHiALzC4p
H28.0,Diabetic cataract,npnXuXLvBsE
H28.1,"Cataract in other endocrine, nutritional and metabolic diseases",Rsbo17E74lX
H28.2,Cataract in other diseases classified elsewhere,aBGrlMOzPkl
H28.8,Other disorders of lens in diseases classified elsewhere,cF7irJkJdIb
H30,Chorioretinal inflammation,NptlM3jK5TP
H30.0,Focal chorioretinal inflammation,MMUcYo0GMC1
H30.1,Disseminated chorioretinal inflammation,tUy7DxiqwTy
H30.2,Posterior cyclitis,jQBOk8Kxn2l
H30.8,Other chorioretinal inflammations,NxXm2PsUPBw
H30.9,"Chorioretinal inflammation, unspecified",aCwMIjYLz72
H31,Other disorders of choroid,Z8Vms88zmDP
H31.0,Chorioretinal scars,Oa9Muab7Scs
H31.1,Choroidal degeneration,kdLexZ6liy0
H31.2,Hereditary choroidal dystrophy,IdlSRlHXHgg
H31.3,Choroidal haemorrhage and rupture,YvDzjRHyvCy
H31.4,Choroidal detachment,bedhYfWWOus
H31.8,Other specified disorders of choroid,D5kMWcRsoQM
H31.9,"Disorder of choroid, unspecified",LSL7hS0wWDz
H32,Chorioretinal disorders in diseases classified elsewhere,jlcdmKw6vGp
H32.0,Chorioretinal inflammation in infectious and parasitic diseases classified elsewhere,W7J4HismhjC
H32.8,Other chorioretinal disorders in diseases classified elsewhere,RDZKWb2NChE
H33,Retinal detachments and breaks,kS5XbuKgnSV
H33.0,Retinal detachment with retinal break,dARockRZuK8
H33.1,Retinoschisis and retinal cysts,lBJuTmuGXHK
H33.2,Serous retinal detachment,merRXu5Eg1Y
H33.3,Retinal breaks without detachment,JMViB3u1FvV
H33.4,Traction detachment of retina,hyPwQV2LW1J
H33.5,Other retinal detachments,VmWfWOyaqqy
H34,Retinal vascular occlusions,nzBSNDYV3tN
H34.0,Transient retinal artery occlusion,tcC138jY8kp
H34.1,Central retinal artery occlusion,cNsmpoNWGVz
H34.2,Other retinal artery occlusions,cegn8LvAc5F
H34.8,Other retinal vascular occlusions,l5IYZfWCR3k
H34.9,"Retinal vascular occlusion, unspecified",uGLsZyTVhZE
H35,Other retinal disorders,NIQie91Jfbi
H35.0,Background retinopathy and retinal vascular changes,ig9mGBMbEIY
H35.1,Retinopathy of prematurity,T3DKjPh4rcT
H35.2,Other proliferative retinopathy,UJ3LwQuzvrh
H35.3,Degeneration of macula and posterior pole,qpwppbQtBzy
H35.4,Peripheral retinal degeneration,EfdNoWIkNaX
H35.5,Hereditary retinal dystrophy,Kz0nON9l5Ba
H35.6,Retinal haemorrhage,Q9RoffcCBrE
H35.7,Separation of retinal layers,EkI8hFUfQ4K
H35.8,Other specified retinal disorders,nnqA0Cc31CP
H35.9,"Retinal disorder, unspecified",r2qVUDqrZkP
H36,Retinal disorders in diseases classified elsewhere,qNJfZ7Rqwyw
H36.0,Diabetic retinopathy,BtcstwYvRtM
H36.8,Other retinal disorders in diseases classified elsewhere,vAGw677VBqR
H40,Glaucoma,vzec4cxf2pq
H40.0,Glaucoma suspect,eqYwBv30L1c
H40.1,Primary open-angle glaucoma,GK5dxA3Jbcw
H40.2,Primary angle-closure glaucoma,CSsDzvJH6os
H40.3,Glaucoma secondary to eye trauma,DMLBgtcUcGL
H40.4,Glaucoma secondary to eye inflammation,zJnXZOQxF73
H40.5,Glaucoma secondary to other eye disorders,t0FzYh4y17h
H40.6,Glaucoma secondary to drugs,QrYl6EZyfKv
H40.8,Other glaucoma,FBRM94m5hKj
H40.9,"Glaucoma, unspecified",THTisuIrWqs
H42,Glaucoma in diseases classified elsewhere,BGzC3KQCqRv
H42.0,"Glaucoma in endocrine, nutritional and metabolic diseases",yuVu8YjxgRy
H42.8,Glaucoma in other diseases classified elsewhere,zeJiKidnNb2
H43,Disorders of vitreous body,izwvonjeG4L
H43.0,Vitreous prolapse,KZr8yWXDhT4
H43.1,Vitreous haemorrhage,xfe7WXp9jDH
H43.2,Crystalline deposits in vitreous body,a8dwShox2SF
H43.3,Other vitreous opacities,iL2RcWhAlSI
H43.8,Other disorders of vitreous body,uWqL1w7QYm1
H43.9,"Disorder of vitreous body, unspecified",u1dBeN9XTjD
H44,Disorders of globe,j7LmtubBL9T
H44.0,Purulent endophthalmitis,PuLkz1XKCwz
H44.1,Other endophthalmitis,vKxabZExk7l
H44.2,Degenerative myopia,qI8YgNwxijL
H44.3,Other degenerative disorders of globe,tz2xB10slEG
H44.4,Hypotony of eye,BMlftJnL1z1
H44.5,Degenerated conditions of globe,zi0lFJ0byXW
H44.6,"Retained (old) intraocular foreign body, magnetic",Ax8jGdi8SSC
H44.7,"Retained (old) intraocular foreign body, nonmagnetic",KLqr3B27gLw
H44.8,Other disorders of globe,ZRLXXpeRoMy
H44.9,"Disorder of globe, unspecified",xNQ8aeBXxuB
H45,Disorders of vitreous body and globe in diseases classified elsewhere,UZ6SjbUWrII
H45.0,Vitreous haemorrhage in diseases classified elsewhere,YiDzKisyAqY
H45.1,Endophthalmitis in diseases classified elsewhere,XJfMLq3dg6q
H45.8,Other disorders of vitreous body and globe in diseases classified elsewhere,kgE79mjfZkK
H46,Optic neuritis,TK773C3Lszn
H47,Other disorders of optic [2nd] nerve and visual pathways,aypPfRAaadw
H47.0,"Disorders of optic nerve, not elsewhere classified",a8hmZ6EMEp7
H47.1,"Papilloedema, unspecified",H4P9WvtcL7U
H47.2,Optic atrophy,uJg316j5BW2
H47.3,Other disorders of optic disc,HbbevxTn9SV
H47.4,Disorders of optic chiasm,wnz52N3hIDh
H47.5,Disorders of other visual pathways,o1naaAymWIK
H47.6,Disorders of visual cortex,aKVV9PvcDPm
H47.7,"Disorder of visual pathways, unspecified",XH6py9rUJ7S
H48,Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere,KqNLUF9UOaw
H48.0,Optic atrophy in diseases classified elsewhere,ka7pQpCDg6t
H48.1,Retrobulbar neuritis in diseases classified elsewhere,alOhQemlu7u
H48.8,Other disorders of optic nerve and visual pathways in diseases classified elsewhere,gACSldonLn9
H49,Paralytic strabismus,pzRpzRcXhlD
H49.0,Third [oculomotor] nerve palsy,jigozOpB8Fv
H49.1,Fourth [trochlear] nerve palsy,FleyrhBi4xc
H49.2,Sixth [abducent] nerve palsy,V0rswoUr05w
H49.3,Total (external) ophthalmoplegia,JrkvdrOoaZn
H49.4,Progressive external ophthalmoplegia,qaffZ1h1VYH
H49.8,Other paralytic strabismus,hHjguuDcOxh
H49.9,"Paralytic strabismus, unspecified",sUDxvEqG3qC
H50,Other strabismus,QYwyFEJvweM
H50.0,Convergent concomitant strabismus,ooGe2LxLigi
H50.1,Divergent concomitant strabismus,WyaczM0fSEf
H50.2,Vertical strabismus,zHoxTr3Xyen
H50.3,Intermittent heterotropia,PyUZkoJHfd6
H50.4,Other and unspecified heterotropia,LDkXG4GBF3m
H50.5,Heterophoria,Nxgk3eRrpPZ
H50.6,Mechanical strabismus,TlBMc9pFI9S
H50.8,Other specified strabismus,tbV3OmRdQOB
H50.9,"Strabismus, unspecified",peHmOoQlq4e
H51,Other disorders of binocular movement,wY9U5PFVhpt
H51.0,Palsy of conjugate gaze,oxm23P04RaR
H51.1,Convergence insufficiency and excess,A3wJzb522po
H51.2,Internuclear ophthalmoplegia,aR3sEixhCaZ
H51.8,Other specified disorders of binocular movement,hRVcV6YT1ni
H51.9,"Disorder of binocular movement, unspecified",Nfbd7QutlAq
H52,Disorders of refraction and accommodation,vxDumphl5mX
H52.0,Hypermetropia,FIESAQQi9r9
H52.1,Myopia,t9PENLzpBfK
H52.2,Astigmatism,jMBiAVLwDqI
H52.3,Anisometropia and aniseikonia,xEG14GCeMoE
H52.4,Presbyopia,T1mwVIAyvgQ
H52.5,Disorders of accommodation,DUyvg5iPmCd
H52.6,Other disorders of refraction,eleh3E6z1Cj
H52.7,"Disorder of refraction, unspecified",OJxDzunOq0Y
H53,Visual disturbances,ZPWLtLx4mNl
H53.0,Amblyopia ex anopsia,mD3uTN10csM
H53.1,Subjective visual disturbances,prijhYmMC75
H53.2,Diplopia,ZEnFsstRDBm
H53.3,Other disorders of binocular vision,OAwnt79D1Kk
H53.4,Visual field defects,w6TZv4QYiSg
H53.5,Colour vision deficiencies,Ryl30y4xFji
H53.6,Night blindness,bhUUfx6dHEk
H53.8,Other visual disturbances,JG91xtpGVh6
H53.9,"Visual disturbance, unspecified",S1gMYGaNOzC
H54,Visual impairment including blindness (binocular or monocular),ziNuNNGEeh4
H54.0,"Blindness, binocular",iWAcFvdbh0f
H54.1,"Severe visual impairment, binocular",NUIc9LJlGlz
H54.2,"Moderate visual impairment, binocular",YvebA6wyZpl
H54.3,"Mild or no visual impairment, binocular",sGd74ik20cv
H54.4,"Blindness, monocular",Cs8xQVvrl3s
H54.5,"Severe visual impairment, monocular",yclLNJmIxyg
H54.6,"Moderate visual impairment, monocular",N5ntxMhtoFT
H54.9,Unspecified visual impairment (binocular),icYwdxBEifj
H55,Nystagmus and other irregular eye movements,j5g7AlYsprX
H57,Other disorders of eye and adnexa,GrkyISNF8y1
H57.0,Anomalies of pupillary function,EYRYHMdFTcy
H57.1,Ocular pain,yaIAlfbY1ZX
H57.8,Other specified disorders of eye and adnexa,KOxUsuWjrwJ
H57.9,"Disorder of eye and adnexa, unspecified",Y6HTilBCvn4
H58,Other disorders of eye and adnexa in diseases classified elsewhere,n0v73HBb94J
H58.0,Anomalies of pupillary function in diseases classified elsewhere,pLtE9cqPQCR
H58.1,Visual disturbances in diseases classified elsewhere,IwZ2qPHQAiy
H58.8,Other specified disorders of eye and adnexa in diseases classified elsewhere,qCMKzx5fbrW
H59,"Postprocedural disorders of eye and adnexa, not elsewhere classified",LZ3SmqCRpO6
H59.0,Keratopathy (bullous aphakic) following cataract surgery,pnl4I8MAnlO
H59.8,Other postprocedural disorders of eye and adnexa,Noc1xDWHcm6
H59.9,"Postprocedural disorder of eye and adnexa, unspecified",h4hmqbQtZHt
H60,Otitis externa,biRSv1L63Rr
H60.0,Abscess of external ear,PbiGI5kHHmv
H60.1,Cellulitis of external ear,fDRf26ZMn3I
H60.2,Malignant otitis externa,TlLygJJatxk
H60.3,Other infective otitis externa,Or8NYuLol3g
H60.4,Cholesteatoma of external ear,GAilXADQHix
H60.5,"Acute otitis externa, noninfective",Y3lQUbX8jb9
H60.8,Other otitis externa,dz0dCMJjCGG
H60.9,"Otitis externa, unspecified",XuKuZVYBq6h
H61,Other disorders of external ear,usbF5UKkxuE
H61.0,Perichondritis of external ear,t65kLG38C65
H61.1,Noninfective disorders of pinna,ygzEUFfUD16
H61.2,Impacted cerumen,qPotmMXq7LG
H61.3,Acquired stenosis of external ear canal,ZRetXx6Pr9t
H61.8,Other specified disorders of external ear,BEkxU4uJ50H
H61.9,"Disorder of external ear, unspecified",URHMVO4Vrv0
H62,Disorders of external ear in diseases classified elsewhere,hpt9e0zCxtG
H62.0,Otitis externa in bacterial diseases classified elsewhere,PjYaaM67vcg
H62.1,Otitis externa in viral diseases classified elsewhere,GOBjYezxkg4
H62.2,Otitis externa in mycoses,rvxJhYSgCVB
H62.3,Otitis externa in other infectious and parasitic diseases classified elsewhere,G6NHl1CTjcG
H62.4,Otitis externa in other diseases classified elsewhere,vlF56iM2sQP
H62.8,Other disorders of external ear in diseases classified elsewhere,OK5QhyMgjT6
H65,Nonsuppurative otitis media,SSfiWZwvKU2
H65.0,Acute serous otitis media,h5BR9YnP2Qb
H65.1,Other acute nonsuppurative otitis media,T2mFRKprT4H
H65.2,Chronic serous otitis media,k8en1qSzUr6
H65.3,Chronic mucoid otitis media,Wsfhon0audl
H65.4,Other chronic nonsuppurative otitis media,D4eyMleqzO9
H65.9,"Nonsuppurative otitis media, unspecified",K3KnRTOCC6y
H66,Suppurative and unspecified otitis media,NTsNCP3iACI
H66.0,Acute suppurative otitis media,LnuFmYBRUoK
H66.1,Chronic tubotympanic suppurative otitis media,TuzYiFJSjTn
H66.2,Chronic atticoantral suppurative otitis media,hpDrM8qykk1
H66.3,Other chronic suppurative otitis media,iZSUJeHTLFY
H66.4,"Suppurative otitis media, unspecified",HDBzsSFbW1g
H66.9,"Otitis media, unspecified",pxsVBInu7Pf
H67,Otitis media in diseases classified elsewhere,vsXNExNksGs
H67.0,Otitis media in bacterial diseases classified elsewhere,xGrZIEkKj1y
H67.1,Otitis media in viral diseases classified elsewhere,dQqlRJhuyxS
H67.8,Otitis media in other diseases classified elsewhere,yeXciYcOMqX
H68,Eustachian salpingitis and obstruction,s5k8GmNqFQb
H68.0,Eustachian salpingitis,OsZCqCQWAM9
H68.1,Obstruction of Eustachian tube,iDss741jWz0
H69,Other disorders of Eustachian tube,f336ZjdmLNg
H69.0,Patulous Eustachian tube,YcjaacP18xm
H69.8,Other specified disorders of Eustachian tube,pN73eT2j6WV
H69.9,"Eustachian tube disorder, unspecified",xPrsFip97MM
H70,Mastoiditis and related conditions,SoYkt9TTfLy
H70.0,Acute mastoiditis,WvApv3yht4y
H70.1,Chronic mastoiditis,BSG6DzKEcNb
H70.2,Petrositis,Mz6oOkfJHnQ
H70.8,Other mastoiditis and related conditions,iKPiQOEIQH7
H70.9,"Mastoiditis, unspecified",iVn7NNu9j5V
H71,Cholesteatoma of middle ear,pwxiQSu1hvJ
H72,Perforation of tympanic membrane,FP3sQx31XQv
H72.0,Central perforation of tympanic membrane,JP17t69cRpr
H72.1,Attic perforation of tympanic membrane,uP8VgLzPgeQ
H72.2,Other marginal perforations of tympanic membrane,pXaAN8AzSC6
H72.8,Other perforations of tympanic membrane,NUidFoUD1Ij
H72.9,"Perforation of tympanic membrane, unspecified",krAI0hlJPZ3
H73,Other disorders of tympanic membrane,DOt9fxh0NS7
H73.0,Acute myringitis,XuG7hufcdiM
H73.1,Chronic myringitis,aiMsGh2Vhwf
H73.8,Other specified disorders of tympanic membrane,DU9mKEycXz8
H73.9,"Disorder of tympanic membrane, unspecified",hJYcCWp8CHH
H74,Other disorders of middle ear and mastoid,Rld23znrvoZ
H74.0,Tympanosclerosis,QxdfJ3AsO0x
H74.1,Adhesive middle ear disease,cHl13Fy1qWc
H74.2,Discontinuity and dislocation of ear ossicles,WrwAvxllFnO
H74.3,Other acquired abnormalities of ear ossicles,CQE7cPr4ZoD
H74.4,Polyp of middle ear,gn12pWA1PEK
H74.8,Other specified disorders of middle ear and mastoid,iwcuaLcissw
H74.9,"Disorder of middle ear and mastoid, unspecified",qqMvA5GykCx
H75,Other disorders of middle ear and mastoid in diseases classified elsewhere,NXJUdoeph1n
H75.0,Mastoiditis in infectious and parasitic diseases classified elsewhere,YzdC6DHsT74
H75.8,Other specified disorders of middle ear and mastoid in diseases classified elsewhere,iS3iwpJqpaz
H80,Otosclerosis,I3sIqlsixIz
H80.0,"Otosclerosis involving oval window, nonobliterative",W2EnpIKWpsB
H80.1,"Otosclerosis involving oval window, obliterative",EJcoMYhbZ4F
H80.2,Cochlear otosclerosis,fMcHlxtGRVo
H80.8,Other otosclerosis,JCRYXYzp6UT
H80.9,"Otosclerosis, unspecified",hvFDBfK8rSV
H81,Disorders of vestibular function,V0vsN5lJtxm
H81.0,Ménière disease,gJTAoZntzzd
H81.1,Benign paroxysmal vertigo,J5570F8zdYa
H81.2,Vestibular neuronitis,e0zgmdoaJuZ
H81.3,Other peripheral vertigo,kKJ6D5O7myZ
H81.4,Vertigo of central origin,kIaoIixwJB9
H81.8,Other disorders of vestibular function,dQ29K3zNyju
H81.9,"Disorder of vestibular function, unspecified",Bq3uMjunZ88
H82,Vertiginous syndromes in diseases classified elsewhere,orke1XfZWd7
H83,Other diseases of inner ear,luKyUxyzUey
